ID,书名,密码,链接
10562,《出家》,百度网盘密码：0e0j     ,"{'百度网盘': 'http://pan.baidu.com/s/1pLnVVHT', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498913173586&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1134411663151187&token=cloud3&sig=azJXaaEof85JAiDzNg66EZz%2BNxc%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498913173580&sk=24578ED11A6242943B095C80BF002EEF&ufi=3134421365247992&token=cloud14&sig=YyqgsBONcKkJtDTOU9a4DAHRqu4%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498913173592&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=3134421365247975&token=cloud4&sig=5J2v22J16%2B%2B8hgLFhDp%2F6vFcHu4%3D'}"
2082,《江山美人志》,百度网盘密码：4e5k     ,{'百度网盘': 'http://pan.baidu.com/s/1pKJYQKz'}
2111,《她的镜像幽灵》,百度网盘密码：pun4     ,{'百度网盘': 'http://pan.baidu.com/s/1pK7N9DD'}
6144,《调教初唐》,百度网盘密码：l6pl     ,"{'百度网盘': 'http://pan.baidu.com/s/1nv9HVEp', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498742220037&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=9149121108683580&token=cloud3&sig=9kdHI6tb5glqYgP8WvZJYx%2BFg%2BE%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498742220022&sk=98A6737B325C52C84D55218BF66D57AA&ufi=5149021116528008&token=cloud15&sig=1ZgmCl%2F3OS17yfZqBKUoXx6v1Og%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498742220029&sk=6065D28083473231C78F3884E226D7DC&ufi=3152221113058905&token=cloud16&sig=fOsm7FiUkuktIEEwH2o%2Bfqb7sKA%3D'}"
10122,《烟雾和骨头的女儿》,百度网盘密码：5gbv     ,"{'百度网盘': 'http://pan.baidu.com/s/1i580j5r', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498486214305&sk=98A6737B325C52C84D55218BF66D57AA&ufi=5134421344050808&token=cloud15&sig=oitTCmu15MLtuY0FasVAH5Sz%2BtY%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498486214299&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5134421344050827&token=cloud3&sig=0Xc%2B9hdj273YubHhjAqS%2BmUq5bs%3D'}"
13226,《九州·魅生其二：幻旅卷（精制）》,百度网盘密码：e1a2     ,"{'百度网盘': 'http://pan.baidu.com/s/1o8I3GkM', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499387765171&sk=24578ED11A6242943B095C80BF002EEF&ufi=8149021511195735&token=cloud14&sig=OlJaIR1aSNNst7%2BV9Eoy2aC5u9Q%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499387765156&sk=6065D28083473231C78F3884E226D7DC&ufi=9152921505550587&token=cloud16&sig=YiqHEreQR2evaWrUWBbbkkgeOLM%3D'}"
2551,《金克木集(套装共8卷)》,百度网盘密码：neab     ,{'百度网盘': 'https://pan.baidu.com/s/1eR8gvPg'}
3697,《毛泽东传_名著珍藏版(插图本)》,百度网盘密码：njkd     ,{'百度网盘': 'https://pan.baidu.com/s/1jHPA4v0'}
1862,《神探狄仁杰1-4册》,百度网盘密码：pzrr     ,"{'百度网盘': 'http://pan.baidu.com/s/1c2em6dy', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499345834798&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=7149121505398382&token=cloud3&sig=h%2FAM3CbhMVGtNEYLyRWnUYcnjWw%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499345834792&sk=6065D28083473231C78F3884E226D7DC&ufi=3149821504171855&token=cloud16&sig=Ma1AbMqWW9RCQEV%2B0re%2F1WAjp6s%3D'}"
12887,《细思恐极故事全集（套装共8册）》,百度网盘密码：ezt5     ,"{'百度网盘': 'http://pan.baidu.com/s/1slfN80P', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498716615426&sk=98A6737B325C52C84D55218BF66D57AA&ufi=9138121485448482&token=cloud15&sig=P3xqNjVarJ7MWDOw6c6IGAdo7zk%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498716615417&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=2138151488268857&token=cloud4&sig=zi1jGLDKoM%2B06tn2WQwEsf5mXzQ%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498716615434&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=2138151488268831&token=cloud3&sig=WjjDBa2h92cPjIy9UganaUs4Hzs%3D'}"
1515,《苏德战争两部》,百度网盘密码：hhib     ,{'百度网盘': 'http://pan.baidu.com/s/1sly5Ekl'}
3647,《薄伽梵歌》,百度网盘密码：fhad     ,{'百度网盘': 'https://pan.baidu.com/s/1dEKuYlF'}
948,《重生于康熙末年》【全本】,百度网盘密码：fvt8     ,{'百度网盘': 'http://pan.baidu.com/s/1jHWsOLK'}
1162,《后宫·甄嬛传》,百度网盘密码：tku2     360网盘密码：1bbc     ,{'百度网盘': 'http://pan.baidu.com/s/1qYpdRxM'}
3499,《鹿苑长春》,百度网盘密码：8qz5     ,{'百度网盘': 'https://pan.baidu.com/s/1misCy6G'}
2032,《天命》,百度网盘密码：vm1j     ,{'百度网盘': 'http://pan.baidu.com/s/1cFVOAU'}
6117,《日本人眼里的朝鲜战争（上+下）》,百度网盘密码：yfzn     天翼云盘密码：8266,"{'百度网盘': 'http://pan.baidu.com/s/1boUBEs3', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_188163870F7794E59C0E2C45DFDF993E65AB97B81D135D3F00ED0E970952C230A2574EF7C8B49E602269C8CF66317F32A9AA2CEA97E6A77D05E35B7C55F1185C900A71434389006EE3168C424805D24BB3E5BD3353C953BBC0AA2D64564E902E5F5FB9471F1FB2E024EBE2FE2404519EB0CF7FDD8E2381483C90767E2E9CC4841FEB3C4F', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_79BF26C7018C23C3514F3E930F3F726F4A49AD832C77A38E28EFB9D79D78CCDABC090353871D76F082FA67ED060D453C0295AD1DF39FDB06317EE45BAC4D6AFB559BA623D54197209320E2CE01F15215B3676DD3F683F137711693CD46D47B3CFC8ADA042076341664C8DD5F826795A9AC5ACB411F0C4F583B5EF0F6DDFC4EB6D1399228', None: 'http://cloud.189.cn/t/eqqYFbRveiMr'}"
9910,《岛在湾流中》,百度网盘密码：65be     ,"{'百度网盘': 'http://pan.baidu.com/s/1bpkpDWN', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498743438988&sk=98A6737B325C52C84D55218BF66D57AA&ufi=2133911330875455&token=cloud15&sig=GrpEltX8GhhsSDAnnIP1W%2FHIhA8%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498743438980&sk=98A6737B325C52C84D55218BF66D57AA&ufi=2133911330875477&token=cloud15&sig=k2vuzhg8DgicCCUO0d17qGABlt8%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498743438997&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=3133921331448618&token=cloud3&sig=AO9ay2zy7z%2F%2BzlRXik%2FQtRFtxvg%3D'}"
6352,《幽冥怪谈（合集共三部）》,百度网盘密码：88ox     天翼云盘密码：5279,"{'百度网盘': 'http://pan.baidu.com/s/1i4GSAu5', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_FF6DF5C4669338CC09DEA21644375DA2EB866CCFC1209611D0E32BDE0729FCA4DA5D1C87A19605999B264BACD9FFADB4F55AA1C772C9545BF9E71BC8EC22104574060F85A58C876B1EFE39D77302DD7874B0FB267405AA7C5186AA835B1821DF335B146334E62D0E12E63C772D1E3FF8AC552ACE89FED64299DC387B9B4530D2EE68BAD2', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_D8DD84A90DAA3568DB82FA832FC13255107861B20014FE37E6C14D40331FDF7FAEF8C287F6C290C2EF05CD10DECFF38EEAB504B502158BD21C9EC99CA49AB0267FA40D256BE23013D40972116BB21BC268894016F416F22C9C3C195091CA6688EE253C9274574EF87953337D19055FE2834A43C333C987B5E7A381D5B28A9C03BA04837B', None: 'http://cloud.189.cn/t/veeINnEbIJJn'}"
4841,《时间简史+万物简史+人类简史+信息简史合集》,百度网盘密码：5br3     360网盘密码：5d4c     ,{'百度网盘': 'http://pan.baidu.com/s/1qYTdMTu'}
3367,《第九届茅盾文学奖获奖作品全集》,百度网盘密码：kem6     ,{'百度网盘': 'https://pan.baidu.com/s/1qYGQF1q'}
3512,《他来了，请闭眼》,百度网盘密码：1cic     ,{'百度网盘': 'http://pan.baidu.com/s/1hs68IoO'}
462,古董局中局全集,百度网盘密码：ef3c     ,{'百度网盘': 'http://pan.baidu.com/s/1kVq8MWn'}
4218,《满城尽带黄金甲》,百度网盘密码：2t45     ,{'百度网盘': 'http://pan.baidu.com/s/1skZ6rA9'}
2728,《搏击俱乐部》,百度网盘密码：b5v8     ,{'百度网盘': 'http://pan.baidu.com/s/1qYpfBo4'}
690,《四大名著》,百度网盘密码：ugf8     ,{'百度网盘': 'http://pan.baidu.com/s/1eRMrl8A'}
9119,《给你讲个故事，你可别哭（上部，套装共10本）》,百度网盘密码：x62w     天翼云盘密码：2735,"{'百度网盘': 'http://pan.baidu.com/s/1bpzND6J', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_0774CBDC89828D21CD2F4814AB2F791C413867E7776ECC07E6E2644F4532E4A2EEE4F5B0E6275C3CF096F6A2A2A2DCE3C5FD5EC85E472E7BC051DC9509E21AB422336A931CDAD2289352E0089887D724D3F7D86DDCFA89DBDCE86941A1D7F3528E4D6E36C21FDF11105F0508EEFD35455CDB883549C464D08DE6EBE0CECB75CC977660C1', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_F9267D840730970DE1D2B67C07AE4B258CFC0EF999BA6046790AB872A02C79EC704D859F26EC008E3E4C4F6ADF8DF35001FF07ACF5339285699F161C8E62015F8EF36C1A2DBCE2C52B689CAC0D7D56F10B8D3A0F1214ED74A179C72697E2C928BD740A19D31B7112591EC07ECF65FEB0FAA44CF496D7BAD01C32E773DB07128F0118EA7E', None: 'http://cloud.189.cn/t/nqMri23eeA3u'}"
4782,《从你的全世界路过（完美升级版）》,百度网盘密码：0jwj     360网盘密码：e65d     ,{'百度网盘': 'http://pan.baidu.com/s/1bFcVme'}
1853,《艾丽丝•门罗作品集》,百度网盘密码：vamm     ,{'百度网盘': 'http://pan.baidu.com/s/1qYVIfgg'}
2710,《怪世奇谈:阴阳八卦+三寸金莲+神鞭(纪念珍藏版)(套装共3册)》,百度网盘密码：qs1f     ,{'百度网盘': 'http://pan.baidu.com/s/1bp4zlnT'}
1137,《三生三世·十里桃花+枕上书+枕上书·终篇》,百度网盘密码：ms33     ,{'百度网盘': 'http://pan.baidu.com/s/1gf5BodH'}
2065,《大谋小计五十年:诸葛亮传(珍藏版5册全)》,百度网盘密码：ne3e     ,{'百度网盘': 'http://pan.baidu.com/s/1kVPgUqF'}
1266,《纸醉金迷》,百度网盘密码：a4fe     ,{'百度网盘': 'http://pan.baidu.com/s/1eR5xj3s'}
1307,《胡兰成作品集6本》,百度网盘密码：cdy2     ,{'百度网盘': 'http://pan.baidu.com/s/1cmOKHo'}
3031,《空间三部曲》,百度网盘密码：u1eg     ,{'百度网盘': 'https://pan.baidu.com/s/1skTzlKh'}
1841,《麻衣世家》,百度网盘密码：cpuz     ,{'百度网盘': 'http://pan.baidu.com/s/1bo75NuZ'}
3345,《老九门》,百度网盘密码：yd1w     ,{'百度网盘': 'https://pan.baidu.com/s/1dEXlOtV'}
77,kindle人精品资源区61-78打包下载,百度网盘密码：f3w8     ,{'百度网盘': 'http://pan.baidu.com/s/1gfHKYSb'}
1102,《掌御星辰》 ,百度网盘密码：dgx9     ,{'百度网盘': 'http://pan.baidu.com/s/1i4KPWgP'}
2489,《所罗门的伪证(套装共3册)》,百度网盘密码：zx0e     ,{'百度网盘': 'http://pan.baidu.com/s/1bpea6uF'}
2451,《民国大师译文名著精选 名家名译民国典藏整理系列》,百度网盘密码：jc1o     ,{'百度网盘': 'http://pan.baidu.com/s/1cec3F4'}
820,《弄潮》【全本+番外】,百度网盘密码：q7cn     ,{'百度网盘': 'http://pan.baidu.com/s/1i55601v'}
3071,《塔希里亚故事集》,百度网盘密码：bmgd     ,{'百度网盘': 'https://pan.baidu.com/s/1bpieWR9'}
4779,《血色黄昏》,百度网盘密码：dfjm     360网盘密码：9a14     ,{'百度网盘': 'http://pan.baidu.com/s/1skKDXMX'}
11829,《海德格尔文集（套装共5部）》,百度网盘密码：fa7h     ,"{'百度网盘': 'http://pan.baidu.com/s/1dFJ0m8T', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499950452852&sk=24578ED11A6242943B095C80BF002EEF&ufi=3149121427099839&token=cloud14&sig=ZPvYCayh8cbV7%2BYmNQRf2E%2BqDo4%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499950452837&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=2149821426883541&token=cloud4&sig=NeKFGC2sVqm1Zu3uvTzulQ6AcAc%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499950452845&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5154321432152800&token=cloud3&sig=K9mghgtGWw%2Fiuqso8qsWvpAVVWY%3D'}"
806,《尘缘》【全本】,百度网盘密码：bjv4     ,{'百度网盘': 'http://pan.baidu.com/s/1qYQqRTi'}
4437,《无畏之海:第一次世界大战海战全史》,百度网盘密码：l0gv     360网盘密码：b563     ,{'百度网盘': 'http://pan.baidu.com/s/1gf4Zcrx'}
1563,《鲁迅全集》,百度网盘密码：2qcs     ,{'百度网盘': 'http://pan.baidu.com/s/1o81tDTw'}
1472,《南非的启示:曼德拉传·从南非看中国·新南非19年》,百度网盘密码：fdzq     ,{'百度网盘': 'http://pan.baidu.com/s/1eSsMyMe'}
1559,《讲谈社•中国的历史(套装共10册)》,百度网盘密码：9hss     ,{'百度网盘': 'http://pan.baidu.com/s/1i4AbcZr'}
3085,《最后一个匈奴》,百度网盘密码：hqmh     ,{'百度网盘': 'https://pan.baidu.com/s/1hr9yNMs'}
497,东野圭吾作品集,百度网盘密码：ffbf     ,{'百度网盘': 'http://pan.baidu.com/s/1c2JTyta'}
2570,《四大名著（权威校注本）》,百度网盘密码：6sct     ,{'百度网盘': 'http://pan.baidu.com/s/1i5g6lH7'}
3596,《二梦全书（金陵春梦+草山残梦）》,百度网盘密码：zc8b     ,{'百度网盘': 'http://pan.baidu.com/s/1o8GUXb8'}
1051,《紫阳》 ,百度网盘密码：799a     ,{'百度网盘': 'http://pan.baidu.com/s/1i5wdFql'}
1096,《北宋小官人的幸福生活》,百度网盘密码：nq8k     ,{'百度网盘': 'http://pan.baidu.com/s/1pLOXGUZ'}
2404,《福尔摩斯探案全集（插图新注新译本 全七册）》,百度网盘密码：2w1j     ,"{'百度网盘': 'http://pan.baidu.com/s/1hs38BZY', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_B52986D93461C68FFD66DCA8EA75A65DCB6775D3F10BD5BFABA076E9AB90E84B1F6951CECAB40AB2916249E6222915600EE01EC804BF6A7F10D28FCB2422CCE70E0351832366B362B66FD9CB0BB5A9D0ABB019678BC782A4F5B536E96CE0DC3878D1007589C422A6441A2F589B805B268D0AF518F01616B29DEAB881D14E7C78229B2424'}"
5453,《司藤（上+下）》,百度网盘密码：bsz3     ,"{'百度网盘': 'http://pan.baidu.com/s/1gfsPl0v', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_C9CF59F83BDBF40013725C70A9A297655534D23EB821C562FAEA58168963EAAB0A59356E87EC99403ACFD073A07B8C4669802D8955C8FD5A2CDDF34CDD96643ECA486BA75E2B7E4437B2696A872689662A388E8D5C5E65BC2CF4A24C44EEA60FECF2CC14AA4E7694E7AF033FA8B3FB660086F4AFE84A62F5AC6771947BA20C9A27367A29', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A8D7F9C75A2C27CA6DF2241E3B0AF33598113889D3BD6ADD7263991E83C71B993E5017845537C38F1E72FCCF0AF51C040E79EDA76E7D191704A65409755B8D6B3422236573E2ED7EA7051E926F1FB28CB16E5D8577FBC32DF2BFFEC3AA56853D6235ED2048CAA823572626A4D69445A07A82634FCDBF90851EC845DEBF595FAD05B24379', None: 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_73F9AAB3CC54C6AD0F0CCF58F8DB75A5D72FEE4458A4235A8022A5ACDD311DEBCB9D965266945EF410EF2295AC837C2CB6730338D97DB74DF7EF9BC8FB3500D1CCF8C0A6C1ED46756FF18D3917A56DBBA1AE1E9DBA71574F056ED1D14CE114E5463A79B65C0E4CF70B102951B05E5483EE70EBC71FCB193A196FBE4AB954C82C3EF78728'}"
979,《天唐》,百度网盘密码：7bhh     ,{'百度网盘': 'http://pan.baidu.com/s/1i4EebDN'}
6731,《最好的告别三部曲（套装共3册：最好的告别+医生的精进+医生的修炼）》,百度网盘密码：ekix     天翼云盘密码：9109,"{'百度网盘': 'http://pan.baidu.com/s/1kUOqKE7', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_0CBB2EC70E69007AD5C73D7FC1D7F321FFA917EAE6D6C715F786D677DA436A6913DF950ED15F8FE053F37109AE26C144DE72152C79079B3E02CEB4D94FFF79E88B927B50FC837EFA3C8B913D7E53A8ECE439EEF90ED917188534B0D854D87EE21D415C6FBCDF332D8AE87A72ADF73ECAB0ED24BC93E0DC2A635609055CBA7F7D2E411218', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_B7A684931C98A9766A90FA7FE4CC25AA255AF58D4BA7BAFBC363854501E4D01EFACCF7499471205CA2B0F1807D118EC154A337FAAD01D7EBC8E7D41D41BF28F2C9C1C5E8895FE7C64CC9903E6EBC97F6432E8458AA427404627E919829FAF76C91AED2276A808AE9F0CA2EDD96FBD825BA7DD961E50B5FCE606078F01BD40F4B125A3D8B', None: 'http://cloud.189.cn/t/z2AJveJ3yQbm'}"
5235,《断臂上的花朵》,百度网盘密码：8i5c     ,{'百度网盘': 'http://pan.baidu.com/s/1dFiJEJR'}
4005,《硬派健身 : 你的第一本健身书》,百度网盘密码：u64p     ,{'百度网盘': 'http://pan.baidu.com/s/1kVsFlbD'}
4073,《大明王朝1566》,百度网盘密码：2aui     ,{'百度网盘': 'http://pan.baidu.com/s/1slu4P4p'}
155,二十四史全译下载,百度网盘密码：ajyr     ,{'百度网盘': 'http://pan.baidu.com/s/1i5rYBT7'}
3301,《历史深处的民国（全3册）》,百度网盘密码：5ysf     ,{'百度网盘': 'http://pan.baidu.com/s/1miNevpQ'}
1080,《大清盐商》南柯,百度网盘密码：x4j6     ,{'百度网盘': 'http://pan.baidu.com/s/1skK9Flz'}
2475,《照片里的20世纪全球史(套装共10册)》,百度网盘密码：05sd     360网盘密码：72d5     ,{'百度网盘': 'http://pan.baidu.com/s/1skE55A9'}
3361,《吕思勉文集9本》,百度网盘密码：n3pt     ,{'百度网盘': 'https://pan.baidu.com/s/1c1LcDig'}
2742,《王小波文集（全十卷）》,百度网盘密码：ff8w     ,{'百度网盘': 'http://pan.baidu.com/s/1kUAEuhx'}
794,《无心法师》【全本】,百度网盘密码： s5u9     ,{'百度网盘': 'http://pan.baidu.com/s/1jH7qb7C'}
782,《间客》【全本】,百度网盘密码：kniz     ,{'百度网盘': 'http://pan.baidu.com/s/1gfsJrNl'}
481,失控(Out Of Control)》中英双版,百度网盘密码：a8gp     ,{'百度网盘': 'http://pan.baidu.com/s/1dF7Gakh'}
2095,《如果蜗牛有爱情》,百度网盘密码：xucr     ,{'百度网盘': 'http://pan.baidu.com/s/1slmvcD3'}
1392,《麦田里的守望者》,百度网盘密码：n85n     ,{'百度网盘': 'http://pan.baidu.com/s/1hrGO5jY'}
1111,《南宋名家词选讲 》,百度网盘密码：is2q     ,{'百度网盘': 'http://pan.baidu.com/s/1i4OnIDJ'}
5255,《香蕉的低语》,百度网盘密码：n7sw     ,{'百度网盘': 'http://pan.baidu.com/s/1mim9igK'}
5139,《史上第一混乱（套装共7册）》,百度网盘密码：4qg5     ,{'百度网盘': 'http://pan.baidu.com/s/1gf8xSSr'}
3893,《青花瓷》,百度网盘密码：ha5d     ,{'百度网盘': 'https://pan.baidu.com/s/1mig1GYc'}
767,《晚明》【全本】,百度网盘密码：vnfe     ,{'百度网盘': 'http://pan.baidu.com/s/1miCRRAw'}
936,《三千美娇娘》【全本】,百度网盘密码：wmuy     ,{'百度网盘': 'http://pan.baidu.com/s/1pLfCbHp'}
708,《侯卫东官场笔记》（1-8+巴国侯氏）,百度网盘密码：brpa     ,{'百度网盘': 'http://pan.baidu.com/s/1jHDvA0A'}
5456,《临渊（上+下）》,百度网盘密码：4lw3     ,"{'百度网盘': 'http://pan.baidu.com/s/1i5HhDyP', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_3DFC06EC820A6D26812B0F49D16C3B9462990BA6EAA587B7EEC36BE8B64C5693C4874AB4BC578B4AFA5AA332EC32A74FE76E9920621CC4E0CF43BFCA9CF06E714C236905571EA237520AAE1E67C35D4BD4E41000FD8B7F8100D83774F422C0C5887587AA219B480654A0CC211DEE3E9F4860559ABD8D7AA6CC98E266117626AF86BB9012', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_F1F50EB3D3834CF5AF373A6EF4DF7063E3E8EA4FE4621A6FA1D933CE5EF7298615A82364E2C1DA46D6B5F4D907D4C0A8FBAB6562EF71FD94BF5A78D74B6E4E49B8D90617206BE19BFC136E74ED05E849B0E4EDE9A6502745F910B882DCFD68EDCBC8875976B17F7B95772CAD31B40EC2D305F28A025A1407B11EA2CF216FB9984390E079', None: 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_A6E07404602B69467144355B53351404B91BD98E370EEF68A753140278485FDD1F87D2AE57AE671981128E554FA6A3C52D4C2FBB80A3B0C00DD7A590483355EE446EC3BA22B8E0FFE82D61DC2A11A29DC6198B177A475D455EFB044131D18BD5D166A1B4773823F92035198F5FEEDD0F69D692898182F955442F98D2B5F3FBCFDDB46DC2'}"
2684,《南怀瑾国学经典套装2：论语别裁+如何修证佛法+道家、密宗与东方神秘学+历史的经验+禅话》,百度网盘密码：ir4p     ,{'百度网盘': 'http://pan.baidu.com/s/1czH0PS'}
2114,《大汉公主》,百度网盘密码：qf3p     ,{'百度网盘': 'http://pan.baidu.com/s/1o8CjDc2'}
4743,《首席女法医（1-17）》,百度网盘密码：ou0o     360网盘密码：25ef     ,{'百度网盘': 'http://pan.baidu.com/s/1gfOCrL5'}
98,kindle人全站资源分享-自制区21-40,百度网盘密码：ij3r     ,{'百度网盘': 'http://pan.baidu.com/s/1kV2JMKJ'}
6175,《刘玉民作品全集（套装共10册）》,百度网盘密码：eoes     天翼云盘密码：3922,"{'百度网盘': 'http://pan.baidu.com/s/1pLOxSHP', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_8FAEE1B48FDD90F9C9A9A7DA0540FDB3C1AA908D87FACBC3220D8F49F4B32E58073260F3602FE9411A8282017CBDF95F9E2CF6FB52368A38753E2A5DCCB258FD4C89E13CAE0375B7EF3E862C68E2897A979676C92C342DCA876A93CEE89C47036797AA6A75ADC13379949A160F628886186A9001EC996E0521483AA6766FAAB70C4D4C38', 'MOBI格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_5E16F0C03115A527529DA361D25CFB61D28C3931B520462C0E9E3C1910DFCEF226FA8E0166E8E4CF7B819CEC7F8D53366AA3F3BE26961C0E279ABF0CC6E96884C3ED9937F4B5ABC981936FEABF227D31CE7A4266933D5B84F456511D3ABADA5E7058B39DC00B9350C6A1BACC0AC83B09DA79195FABD1A31F37042CF0DCFC50A1C274F8FB', None: 'http://cloud.189.cn/t/f67Z3muiy6fa'}"
3947,《菲茨杰拉德全集》,百度网盘密码：fw96     ,{'百度网盘': 'http://pan.baidu.com/s/1skOaIg1'}
4767,《太宰治经典系列5本》,百度网盘密码：y1ep     360网盘密码：c370     ,{'百度网盘': 'http://pan.baidu.com/s/1slEO933'}
4322,《理想国》,百度网盘密码：p2tq     天翼云盘密码：5132,"{'百度网盘': 'http://pan.baidu.com/s/1eS1DkhO', None: 'http://cloud.189.cn/t/3aau2mn6N3e2'}"
6169,《徐贲文集（套装共4册）》,百度网盘密码：qoc0     天翼云盘密码：7847,"{'百度网盘': 'http://pan.baidu.com/s/1cmUFmQ', 'EPUB格式': 'http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_1768FD76B649BD0298BB3648C26B402BA23C92A25B6559476506D92C1B558B9FB8C39E3E9B807E4F45EDF1942BA756FD50A1A8926C63103761D2722A61537A9EA32A0FEE58F38FE384797AA8BA93440166BFE25CB18C6C336402BEE1AE67FCDAE1528C40AE562A5C561B7ECF52A65C9170FE929A0346B334B7AFAE9CE85B228C46EA1958', None: 'http://cloud.189.cn/t/zmUrieRv2yAz'}"
2994,《遗失在西方的中国史:《伦敦新闻画报》记录的晚清1842-1873(套装共3册)》,百度网盘密码：224g     ,{'百度网盘': 'http://pan.baidu.com/s/1bpmO6f1'}
3777,《大家丛书•数学经济系列（套装共6册）》,百度网盘密码：sgev     ,{'百度网盘': 'http://pan.baidu.com/s/1bo34nE3'}
1953,《与凤行》,百度网盘密码：y5ih     ,{'百度网盘': 'http://pan.baidu.com/s/1pLlJaiR'}
1068,《辉煌岁月》 ,百度网盘密码：5dsd     ,{'百度网盘': 'http://pan.baidu.com/s/1jIttNQu'}
1040,《底牌》【全本】,百度网盘密码：ey6j     ,{'百度网盘': 'http://pan.baidu.com/s/1sl7sGdZ'}
896,《七品封疆》【全本】,百度网盘密码：bvcm     ,{'百度网盘': 'http://pan.baidu.com/s/1i5i5Z6X'}
3332,《牛津通识精选：哲学家系列》,百度网盘密码：6mre     ,{'百度网盘': 'https://pan.baidu.com/s/1pLSxU7x'}
